AV. LAZARO CARDENAS,360,47090,EL PEDREGOSO
RAMON CORONA,62,47120,JALOSTOTITLAN
Fresno,121,20100,CLUB CAMPESTRE NORTE
Av. Constitucion,913,20126,POZO BRAVO
CARRETERA ENCARNACION DE DIAZ A LAGOS,87,47270,ENCARNACION DE DIAZ
Av. De la Convencion,1515,20020,CIRCUNVALACION NORTE
JOSEFA O. DE DOMINGUEZ,650,20240,LA SALUD
Av. Heroe de Nacozari,208,20250,SAN LUIS
CARRETERA PANAMERICANA AGUASCALIENTES-ZACATECAS,KM13,20909,CRNL JESUS GOMEZ PORTUGAL
Av. Ramon Martin Huerta,467,47000,SAN JUAN DE LOS LAGOS CENTRO
JUAN DE MONTORO,201,20000,AGUASCALIENTES CENTRO
AV. ZARAGOZA,201,20115,VALLE DE LAS TROJES
Av. Aguascalientes,200,20270,MEXICO
BLVD SIGO XXI,301,20277,PIRAMIDES
PROL. ADORATRICES,1001,20126,VILLA DE NUESTRA SEÑORA DE LA ASUNCION
GARZA SADA,SN,20328,POCITOS
BLVD SIGLO XXI,S/N,20126,VILLA DE NUESTRA SEÑORA DE LA ASUNCION
AV. ANZUREZ,SN,67280,RANCHO VIEJO
AV. JESUS RAMAL GARZA,325 SUR,67779,EL ROBLE
CARRETERA NACIONAL KM224,S/N,67330,SAN PEDRO
CARRETERA NACIONAL,101,67350,CIUDAD ALLENDE
MORELOS,300,67350,CIUDAD ALLENDE
BUSTAMANTE,S/N,67530,ZARAGOZA
CARR. NACIONAL ,S/N,67300,LOS RODRIGUEZ
CAMINO A LAS ESPINAS,S/N,67250,CIUDAD BENITO JUAREZ
INDUSTRIA MELURGICA,S/N,67779,EL ROBLE
MESA DE DURAZNO ,14,67350,CIUDAD ALLENDE
CARR. COLA DE CABALLO,118,67300,SANTIAGO VILLA
CARRETERA NACIONAL,2100,67350,CIUDAD ALLENDE
LUCIO BLANCO,SN,67790,SAN ANTONIO
MONTE AZUL,124,67250,CIUDAD BENITO JUAREZ
MANUEL G. RIVERO,S/N,67320,EL CERCADO
AV. ACUEDUCTO,S/N,67280,RANCHO VIEJO
PROLONGACION JOSE MA. MORELOS,S/N,67484,JOSE O MARTINEZ SECC A
JUAREZ,815,67485,CADEREYTA
JERONIMO TREVIÑO,SN,67484,SALINAS DE GORTARI
CARRETERA NACIONAL,S/N,67330,PIEDRA DE FIERRO
AV. BENITO JUAREZ,SN,67485,LOPEZ MATEOS 1RA SECC
AV. LAS TORRES,SN,67275,HECTOR CABALLERO ESCAMILLA
ARTURO B. DE LA GARZA,410,67250,CIUDAD BENITO JUAREZ
Camino a San Jose,124,67500,CENTRO
LIB. CADEREYTA ALLENDE KM 12,S/N,67465,LOS PALMITOS
CARRETERA NACIONAL,S/N,67610,CANOAS
LERDO DE TEJADA,S/N,67350,CIUDAD ALLENDE
CARRETERA REYNOSA KM 18,S/N,67250,CIUDAD BENITO JUAREZ
TULE ESQUINA COCOTERA,S/N,67480,CADEREYTA DE JIMENEZ CENTRO
CARRETERA SAN ROQUE,SN,67277,AMERICA UNIDA
ANTIGUA CARR. APODACA-JUAREZ KM. 59.8,700,67288,HEROE DE NACOZARI
AV. LIBERTAD,S/N,67510,MATAMOROS
MODESTO GALVAN ,S/N,67714,SAN FELIPE
CONSTITUCION Y JUAREZ,SN,67500,CENTRO
PROLONGACION MUTUALISMO,SN,67485,CADEREYTA
BERNARDO REYES,SN,67000,GRAL BRAVO
MADRID,S/N,67267,GARZA Y GARZA
MERCURIO,167,67251,SANTA MONICA
GEMINIS ,345,67250,CIUDAD BENITO JUAREZ
CARRETERA NACIONAL,S/N,67330,PIEDRA DE FIERRO
GAMMA,403,67251,SANTA MONICA
CARR. LINARES-MTY ,200,67510,MATAMOROS
ESCOBEDO,200,67480,CADEREYTA DE JIMENEZ CENTRO
INDEPENDENCIA,506,67700,LINARES CENTRO
AV. REGUILETES,401,67286,SALVADOR CHAVEZ MORA
AV. CAPITAN ALONSO DE LEON,302,67500,CENTRO
LIB. CADEREYTA ALLENDE,SN,67350,CIUDAD ALLENDE
ARCADIA,SN,67286,SALVADOR CHAVEZ MORA
CARRETERA MONTEMORELOS TERAN,SN,67400,GRAL TERAN
CAÑON DEL SUADERO,SN,67267,GARZA Y GARZA
CARRETERA AL EDEN,0,67580,LA LADRILLERA
Melchor Ocampo,201,67257,COAHUILA
VILLEGAS,S/N,67740,VILLEGAS
CARRETERA NACIONAL KM 242,206,67330,SAN PEDRO
NIuOS HEROES,400-A,67350,CIUDAD ALLENDE
AV. TEOFILO SALINAS,700,67250,*CIUDADELA
AV. JUAREZ,304,67700,LINARES CENTRO
AV. DR. GARCIA,S/N,67700,LINARES CENTRO
CARR. A REYNOSA,73,66800,LOS RAMONES
CARRETERA LIBRE A REYNOSA,S/N,67050,CHINA
CAPITAN ALONSO DE LEON,100,67560,GIL DE LEYVA
Carretera Nacional KM. 101,101,67300,LOS RODRIGUEZ
CARR. NACIONAL,S/N,67700,LINARES CENTRO
CARRETERA MONTERREY - REYNOSA  KM 3,S/N,67250,CIUDAD BENITO JUAREZ
CARRETERA NACIONAL,S/N,67320,EL CERCADO
JUAREZ,915,67480,CADEREYTA DE JIMENEZ CENTRO
CARLOS CANTU,710,67510,MATAMOROS
MATAMOROS,703,67480,CADEREYTA DE JIMENEZ CENTRO
CARRETERA JUAREZ SAN MATEO,300-A,67296,SAN MATEO
JUAREZ,800,67480,CADEREYTA DE JIMENEZ CENTRO
EV. EMPACADORAS,S/N,67550,MEXIQUITO
CAMINO AL VAPOR ,101,67512,ZAMBRANO
AVE. INDUSTRIA ALIMENTICIA,S/N,67700,LINARES CENTRO
5 DE MAYO,SN,67250,CIUDAD BENITO JUAREZ
BAHIA CENTRAL,SN,67250,CIUDAD BENITO JUAREZ
QUERETARO,S/N,67530,ZARAGOZA
CARRETERA NACIONAL,100-1,67300,SANTIAGO VILLA
LAZARO CARDENAS,2121,67450,CADEREYTA JIMENEZ
LERDO DE TEJADA,250 Ote,67350,CIUDAD ALLENDE
CARRETERA NACIONAL KM 253,S/N,67300,LOS RODRIGUEZ
CARRETERA NACIONAL,400,67304,*LA BOCA
CARRETRA NACIONAL KM 255,204-A,67300,LOS RODRIGUEZ
DEGOLLADO,312 SUR,67500,CENTRO
20 DE NOVIEMBRE,321,67480,CADEREYTA DE JIMENEZ CENTRO
AVENIDA LOS PUERTOS,sn,67267,GARZA Y GARZA
Edelmiro Gonzalez Garcia,730,67450,CADEREYTA JIMENEZ
MUTUALISMO,107,67450,CADEREYTA JIMENEZ
CONGREGACION CALLES,SN,67608,EL PASTOR
HIDALGO,SN,67250,CIUDAD BENITO JUAREZ
PUERTO SAN JORGE,S/N,67485,*LAS PALMAS
CARR. SAN ROQUE,S/N,67250,HACIENDA SANTA LUCIA
ZARAGOZA,1022,67500,CENTRO
CARR. MONTERREY-REYNOSA KM 298,106,67250,*LA HACIENDA LA MORENA
PROL. B JUAREZ,206,67250,CIUDAD BENITO JUAREZ
PABLO SALCE,615-A,67700,LINARES CENTRO
CUAHUTEMOC,710,67500,CENTRO
CARR. MONTERREY - REYNOSA,400,67250,HACIENDA SANTA LUCIA
CARR. MONTERREY - REYNOSA,S/N,67485,CADEREYTA
MORELOS,101,67300,SANTIAGO VILLA
CARRETERA NACIONAL MONTERREY - CD.VICTORIA,985,67700,LINARES CENTRO
CARR NACIONAL KM 154,SN,67700,LINARES CENTRO
CARR. MONTERREY REYNOSA,S/N,67257,REFORMA
AV. LAS AMERICAS,SN,67750,LA PETACA
AV. TEOFILO SALINAS,601-A,67250,*CIUDADELA
AV. PASEO DE LAS LOMAS,242,67265,LA CIUDADELA
CARRETRA A LA CORTINA KM 252,S/N,67300,HUAJUQUITO O LOS CAVAZOS
VISTA DE LA PRIMAVERA,503,67250,CIUDAD BENITO JUAREZ
HEROES DEL 47,103,67300,SANTIAGO VILLA
AUTOPISTA MTY-REYNOSA km 33.7,KM 33.700 ,67485,CADEREYTA
20 DE NOVIEMBRE,1102,67480,CADEREYTA DE JIMENEZ CENTRO
LIBRAMIENTO JULIO CISNEROS,614,67250,CIUDAD BENITO JUAREZ
ABEDUL,135,67755,LINARES IV
Jose Maria Mier,716,67480,CADEREYTA DE JIMENEZ CENTRO
CARRETRA NACIONAL,159,67302,YERBANIZ
SANTA MARTHA,701,67251,*SANTA MONICA
CALZ.PIE DE LA CUESTA,66,39480,LA MIRA
Calle Castrejon esquina Juan Ruiz de Alarcon,s/n,39000,CHILPANCINGO DE LOS BRAVOS CENTRO
Durango,200 y 201,39350,PROGRESO
Av. Presidente Juarez,34,39000,CHILPANCINGO DE LOS BRAVOS CENTRO
Avenida Ruffo Figueroa esq.Pleassant Hill,1,39090,BUROCRATA
Emiliano Zapata,8,39000,CHILPANCINGO DE LOS BRAVOS CENTRO
Av. Costera Miguel Aleman,137,39670,MAGALLANES
BLVD.JOSE LOPEZ PORTILLO INT.GASOLINERA RENACIM.,15,39715,RENACIMIENTO
AV.RUIZ CORTINES MANZ.13,28,39610,ALTAMIRA
AV. JUAN N. ALVAREZ  ESQ. CALLE LAURELES,S/N,39000,CHILPANCINGO DE LOS BRAVOS CENTRO
Cuauhtemoc esq.Pedro M.Aviles,146,39355,HORNOS
Carretera Cayaco-puerto Marquez,S/N,39890,ALBORADA CARDENISTA
AV.COSTERA MIGUEL ALEMAN,19,39850,COSTA AZUL
BOULEVARD VICENTE GUERRERO ,FRACC.11,39095,BALCONES DE TEPANGO
AV. COSTERA MIGUEL ALEMAN,16,39690,FARALLON
AV. JUAN N ALVAREZ,MZA. A,40930,ATOYAC DE ALVAREZ
Cristobal Colòn,100 Loc2y3,39850,COSTA AZUL
21 DE MARZO,6,39010,BENITO JUAREZ
AV. LAS PALMAS ( CARRET.NAC.ACAP-PINOTEPA ),S/N,39960,ZAPATA
BLVD.DE LAS NACIONES,75 Z-1,39906,LA ZANJA O LA POZA
Tamarindos,2,39690,CLUB DEPORTIVO
AV.COSTERA MIGUEL ALEMAN,13,39850,COSTA AZUL
AV. COSTERA MIGUEL ALEMAN ,112,39690,CONDESA
PASEO ALEJANDRO CERVANTES,41,39000,CHILPANCINGO DE LOS BRAVOS CENTRO
HILARIO RODRIGUEZ MALPICA,3114 LT.24,39850,COSTA AZUL
AV.COSTERA MIGUEL ALEMAN,97,39390,LAS PLAYAS
AV.COSTERA MIGUEL ALEMAN,248 L1 Y 2,39355,HORNOS
Cinco de mayo,2,39300,ACAPULCO DE JUAREZ CENTRO
AV.COSTERA MIGUEL ALEMAN,116 L 10-C,39690,CLUB DEPORTIVO
CRISTOBAL COLON,14,39850,COSTA AZUL
AV. VICENTE GUERRERO,S/N,39000,CHILPANCINGO DE LOS BRAVOS CENTRO
AV. COSTERA  MIGUEL ALEMAN ,75,39390,LAS PLAYAS
Progreso,26,39300,ACAPULCO DE JUAREZ CENTRO
AV. CUAUHTEMOC,MZA.35 L.1,39650,LA GARITA
AV.GRAN VIA COLOSO MANZ.25 ETAPA IX,S/N,39810,EL COLOSO INFONAVIT
CARRET.ACAPULCO-PINOTEPA ,KM 28.6,39932,CERRO DE PIEDRA
AV.EJIDO,S/N,39580,HOGAR MODERNO
CARRETERA CHILPANCINGO-CHILAPA,KM 17,41180,APANGO
PARQUE NORTE,580,39850,COSTA AZUL
Terraceria Llano Largo,157 zona 1,39906,LLANO LARGO
NICOLAS BRAVO,50,39905,CAYACO
CARRET.NACIONAL MEX-ACAPULCO ,KM 15,39713,LA MICA
AVENIDA CUAUHTEMOC,320 MZA.02,39650,LA GARITA
Carretera Federal Acapulco-Zihuatanejo,s/n,40985,EJIDO VIEJO
ANTON DE ALAMINOS,LOTE 2,39670,MAGALLANES
GUTY CARDENAS,183,39060,SAN MIGUELITO
AVENIDA SAN AGUSTIN SUR,L.1 MZA.14,39901,LOS ORGANOS SAN AGUSTIN
PASO LIMONERO,L.22 Y 23,39933,LA VENTA
Boulevard Vicente Guerrero,S/N,39016,CAMBIO 2000
AVENIDA MEXICO,220-B,39689,CUMBRES DE FIGUEROA
AV.SIMON BOLIVAR,S/N,39890,GRANJAS DEL MARQUEZ
Avenida Manuel Gomez Morrin,Num.205,39670,MAGALLANES
Blvd.Vicente Guerrero,560,39090,BUROCRATA
"Copacabana, poligono 1",P.106 Z-3,39906,LA ZANJA O LA POZA
CARRETERA PINOTEPA,S/N,41800,CRUZ GRANDE
Carretera Cayaco pto. marquez,1,39907,PUERTO MARQUEZ
BLVD.VICENTE GUERRERO,543,39090,BUROCRATA
NICOLAS BRAVO MANZA.1,138,39906,LLANO LARGO
AV.LAZARO CARDENAS,S/N,39087,HACIENDITA
NIuOS HEROES  ESQ. BAJA CALIFORNIA LOTE A,2040,39350,PROGRESO
Carret.Fed. Acapulco-Mexico  km.15,s/n,39909,LOS ORGANOS DE JUAN R ESCUDERO
HERMENEGILDO GALEANA ,2,40900,TECPAN DE GALEANA
AV.COSTERA MIGUEL ALEMAN,239 L-5,39300,ACAPULCO DE JUAREZ CENTRO
Almirante  Horacio Nelson,390,39850,COSTA AZUL
CARRETERA NACIONAL ACAPULCO-ZIHUATANEJO,S/N,40930,ATOYAC DE ALVAREZ
CARRETERA NACIONAL PINOTEPA-ACAPULCO,217 Z-6 ,39905,CAYACO
CARRETERA NAC. ACAPULCO-ZIHUATANEJO,S/N,40900,TECPAN DE GALEANA
Av. Costera Miguel Aleman ,40,39670,MAGALLANES
AV. COSTERA MIGUEL ALEMAN ,149,39350,HORNOS INSURGENTES
VELAZQUEZ DE LEON,52,39300,ACAPULCO DE JUAREZ CENTRO
CALLE CIRUELOS,L.14 M18-A,39422,JARDIN PALMAS
QUEBRADA,475,39300,ACAPULCO DE JUAREZ CENTRO
CIRCUNVALACION,6,39390,LAS PLAYAS
Av. Guerrero,24,39000,CHILPANCINGO DE LOS BRAVOS CENTRO
Avenida Ruiz Cortinez,L.18 M.18,39350,PROGRESO
AV. LAS GAVIOTAS,LOTE 92,39906,LLANO LARGO
AVENIDA COSTERA MIGUEL ALEMAN,L. 2 Y 3,39690,CLUB DEPORTIVO
AV JUAREZ S/N ESQ CALLE HERMANOS GALEANA,SN,39075,VILLA DE LAS FLORES
AV.COSTERA MIGUEL ALEMAN,123,39670,MAGALLANES
Vasco Nuuez de Balboa esq. Capitan Malaespina,mza.20 L25,39573,HORNOS INSURGENTES
Carretera Nacional Mexico-Acapulco,S/N,39010,LAZARO CARDENAS
Chihuahua esq. Niuos Heroes,520,39350,PROGRESO
CARRET. NACIONAL ACAPULCO - PINOTEPA,15,41930,MARQUELIA
CARRET.CUERNAVACA-CHILPANCINGO KM 222 + 900,S/N,39017,GILDO TATA
ANTONIA NAVA,20,39060,CUAUHTEMOC SUR
AV.LAS PALMAS,5 Y 6,39907,PUERTO MARQUEZ
Av.Ruiz Cortines,9-A,39600,LA LAJA
AV.GRAN VIA TROPICAL,2475,39390,LAS PLAYAS
AVENIDA CUAUHTEMOC,11,41940,CENTRO
Libramiento paso Texca,km. 380,39920,KILOMETRO 30
Carretera Federal Mexico-Acapulco,km0+280,39000,CHILPANCINGO DE LOS BRAVOS CENTRO
AV.LAZARO CARDENAS,864-1,39770,LAS CRUCES
Av.Mexico,16-ene,39690,FARALLON
RICARDO FLORES MAGON ,71,39350,PROGRESO
BOULEVARD VICENTE GUERRERO,LOTE 23,39770,LAS CRUCES
Av. Cuauhtemoc,43,39300,ACAPULCO DE JUAREZ CENTRO
AVENIDA CONSTITUYENTES,173 MZ34,39560,VISTA ALEGRE
Angel Martinez,lote 42,39890,GRANJAS DEL MARQUEZ
Unidad habitacional Vicente Guerrero,Local 5 y6,39932,VICENTE GUERRERO 200
AV. EJIDO ESQ. CALLE 9,LOTE 27,39550,CUAUHTEMOC
AV. ADOLFO LOPEZ MATEOS ,L.12 MZ.21,39300,ACAPULCO DE JUAREZ CENTRO
AV.DEL PRADO,2-A,39690,CLUB DEPORTIVO
BLVD.DE LAS NACIONES,937,39907,PUERTO MARQUEZ
CARR.CAYACO PUERTO MARQUES,S/N,39810,EL COLOSO INFONAVIT
AV.COSTERA MIGUEL ALEMAN,S/N,39670,MAGALLANES
CARR.ACAPULCO-ZIHUATANEJO,KM 11+41Om,39934,SAN ISIDRO
AVENIDA MIGUEL ALEMAN,68,39000,CHILPANCINGO DE LOS BRAVOS CENTRO
BLVD.DE LAS NACIONES,S/N,39907,PUERTO MARQUEZ
AV. EJIDO,32,39550,BELLAVISTA
CARRET. NACIONAL ACAPULCO-PINOTEPA,LOTE 2,39780,LA LIBERTAD
AVENIDA RUIZ CORTINEZ,L.22 MZA.1,39630,BARRANCA DE LA LAJA
Av. Horacio Nelson,"Local 3,4,",39860,ICACOS
Carretera Acapulco-Zihuatanejo,lote 26,39407,MIRAMAR
AV.COSTERA MIGUEL ALEMAN,184,39670,MAGALLANES
BOULEVARD DE LAS NACIONES ESQ. CALLE PRIMAVERA,S/N,39906,LA ZANJA O LA POZA
BLVD.JOSE LOPEZ PORTILLO,90,39700,EMILIANO ZAPATA
Avenida Lopez Mateos,64  int. 1,39300,ACAPULCO DE JUAREZ CENTRO
AVENIDA EJERCITO NACIONAL,5,39860,NUEVO CENTRO DE POBLACION
Carretera a Barra Vieja N.100,L.28 y29,39893,BARRA DIAMANTE
alfredo V. Bonfil,5,39893,ALFREDO V BONFIL
Costera Miguel Aleman,S/N,39670,MAGALLANES
CARRETERA NACIONAL MEXICO-ACAPULCO,S/N,39713,*PASO LIMONERO
AV.COSTERA MIGUEL ALEMAN,326,39300,ACAPULCO DE JUAREZ CENTRO
"Carret.Nacional Acapulco-Pinotepa Mza.Z-3,ES 10484",92,39905,CAYACO
CARR.FED.ACA-MEX,KM.12,39933,LA VENTA
5 DE FEBRERO,S/N,41700,OMETEPEC
DURANGO,20-A,39350,PROGRESO
General Ignacio de la Llave,N.105 L.2 ,39300,ACAPULCO DE JUAREZ CENTRO
Altamirano,S/N,39000,CHILPANCINGO DE LOS BRAVOS CENTRO
Av. Costera las Palmas 60,Granja 93,39890,GRANJAS DEL MARQUEZ
Gran via tropical,lote 8,39390,LAS PLAYAS
AV. CUAUHTEMOC ,18,41700,OMETEPEC
Av. Costera Miguel Aleman,N.87 L.15,39690,CLUB DEPORTIVO
BENITO JUAREZ ESQ. OCEANO PACIFICO,L.1 MZA.8,39906,LLANO LARGO
LA NORIA,1,39300,ACAPULCO DE JUAREZ CENTRO
SOLIDARIDAD,LOTE 18,39350,HORNOS INSURGENTES
Costera Miguel Aleman,S/N,39350,HORNOS INSURGENTES
CALZ.PIE DE LA CUESTA,7,39460,MOZIMBA
ZAPATA ,23,39000,CHILPANCINGO DE LOS BRAVOS CENTRO
HIDALGO Y ZARAGOZA,S/N,39960,SAN MARCOS
AV.INSURGENTES ,100,39010,BENITO JUAREZ
"BOULEVARD DE LAS NACIONES LOTE 54,60,74",N. 403,39880,LOMAS DEL MARQUES
CALLE REVOLUCION ,10,41100,CHILAPA DE ALVAREZ
AV.CUAUHTEMOC,100 L 1Y2,39355,HORNOS
BOULEVARD VICENTE GUERRERO Y RENACIMIENTO,S/N,39933,LA VENTA
AV. PASEO DE LA CAuADA ,S/N,39610,ALTA PROGRESO INFONAVIT
